,implementation,R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8,accuracy,elapse,country,fromsearch,gender,age,Strength
16,2,1,1,2,2,1,1,2,1,1,1,4,2,2,4,4,3,3,2,4,3,4,5,3,4,3,3,1,3,3,3,3,2,3,3,2,3,3,3,3,2,2,2,2,2,1,2,2,1,93,2765,US,1,-1,-1,A
17,2,1,3,1,2,1,2,1,2,4,4,4,3,3,4,4,4,3,4,5,5,4,5,4,5,3,3,3,3,4,5,4,3,1,1,1,1,2,1,1,5,1,1,1,1,1,2,1,1,100,182,US,1,-1,-1,A
18,2,4,1,1,2,1,1,1,1,5,5,5,2,5,5,4,4,1,1,4,1,5,1,2,3,5,1,1,1,2,3,1,1,2,1,4,1,4,1,3,5,1,1,1,1,2,3,1,2,90,396,US,0,-1,-1,I
19,2,2,5,4,3,1,3,4,4,5,5,5,3,5,5,5,5,1,4,1,2,4,5,5,3,2,1,2,2,3,5,3,4,3,1,2,1,2,3,3,1,1,3,2,2,1,1,2,2,98,1143,US,0,-1,-1,I
21,2,1,2,1,1,1,2,1,1,5,5,5,2,3,3,3,3,5,2,3,5,5,5,1,4,3,5,4,3,5,3,4,-1,2,1,3,3,4,2,2,2,2,1,2,2,2,1,1,1,95,157,US,0,-1,-1,A
25,2,1,1,1,1,1,1,1,1,3,5,5,1,4,5,4,2,3,1,3,3,2,5,3,2,1,4,1,1,1,3,1,3,1,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,90,245,US,1,-1,-1,I
26,2,1,2,1,1,1,1,1,1,3,3,3,2,2,2,3,1,2,2,2,3,2,4,1,2,4,5,2,4,4,3,5,3,1,3,3,2,4,4,4,4,4,2,3,4,4,4,3,4,75,187,US,1,-1,-1,S
27,2,2,2,1,4,2,3,2,2,5,4,4,4,4,3,4,3,3,2,3,3,3,3,3,3,4,2,2,2,2,2,3,2,2,2,2,2,3,2,2,4,2,2,2,2,3,3,3,2,75,152,US,0,-1,-1,I
28,2,1,3,3,1,2,3,2,2,3,5,4,2,4,5,4,3,2,3,3,2,3,3,4,3,2,4,3,4,4,5,4,3,1,2,2,3,1,2,2,3,1,1,1,2,1,2,1,2,90,811,US,0,-1,-1,I
30,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,5,1,2,5,1,1,1,5,5,5,1,4,4,4,3,1,1,2,1,2,2,1,3,1,1,1,1,1,3,1,-1,90,130,CA,0,-1,-1,S
31,2,4,2,2,2,2,3,2,3,3,3,1,2,1,3,2,4,4,4,5,5,5,4,2,5,2,3,1,4,2,2,3,2,2,1,2,2,2,3,3,2,3,2,3,3,3,3,3,2,95,162,US,0,-1,-1,A
32,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,1,5,1,4,1,1,1,5,1,1,4,4,1,3,1,1,1,1,1,1,1,1,1,85,160,US,1,-1,-1,E
33,2,1,1,1,1,1,2,1,1,4,3,2,4,1,4,2,2,3,2,2,3,1,3,2,1,2,3,4,4,4,3,3,4,2,1,2,2,2,2,3,2,1,1,1,2,2,2,1,1,90,185,US,0,-1,-1,S
37,2,3,1,1,2,1,1,1,1,4,3,4,3,3,4,4,1,1,1,2,1,-1,3,1,1,3,3,4,2,4,1,1,3,1,2,2,1,2,2,1,3,1,3,3,3,2,1,2,2,80,313,US,0,-1,-1,I
39,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,1,4,1,5,3,1,3,5,3,5,5,5,5,5,3,95,143,US,1,-1,-1,C
40,2,1,2,1,2,1,1,1,1,5,3,2,3,3,2,4,4,3,4,4,3,5,3,4,5,4,5,1,1,4,3,3,3,2,3,2,2,5,3,2,4,2,1,2,2,1,1,1,2,85,131,US,0,-1,-1,A
41,2,3,1,1,4,1,4,1,3,5,3,3,4,4,4,4,4,1,5,5,5,5,4,5,5,1,3,4,5,5,1,1,1,1,1,2,1,4,1,1,4,1,1,1,1,3,4,1,1,90,195,US,1,-1,-1,A
42,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,3,5,4,2,2,4,4,3,5,5,5,5,1,2,2,3,3,2,2,1,1,3,2,2,3,2,1,3,3,95,303,US,0,-1,-1,S
46,2,2,1,1,2,3,4,1,3,4,5,5,4,5,5,5,5,5,4,5,5,4,5,1,5,4,4,5,4,5,1,5,4,2,4,4,5,4,5,1,2,3,2,3,4,4,3,3,2,85,200,CA,1,-1,-1,I
47,2,3,4,3,1,2,5,2,2,4,5,5,3,3,3,2,4,2,2,2,2,4,4,4,5,1,2,1,3,2,1,2,1,1,1,2,1,3,1,2,-1,1,1,1,2,2,1,3,2,85,165,US,1,-1,-1,I
48,2,1,1,3,3,2,3,3,3,2,3,3,4,3,3,3,3,5,5,4,5,5,5,5,3,5,4,5,3,5,3,3,3,5,3,5,4,5,4,4,3,2,2,2,3,5,4,4,3,75,236,CA,1,-1,-1,A
49,2,4,4,5,2,4,4,2,4,3,4,3,2,2,2,2,2,2,3,3,3,4,2,4,4,3,5,3,4,2,3,2,4,1,2,3,2,4,2,2,4,4,5,3,4,4,3,2,4,75,245,US,1,-1,-1,R
50,2,3,3,2,2,2,2,3,2,5,2,2,2,2,2,2,2,3,5,5,3,5,3,2,4,5,4,3,3,3,3,2,2,3,4,3,5,4,5,3,4,2,2,2,1,1,2,3,2,85,743,CA,1,-1,-1,E
51,2,1,1,1,2,1,1,2,1,1,5,4,3,2,4,4,5,3,5,3,4,5,4,1,4,3,5,1,1,2,3,3,4,4,2,4,1,1,1,2,2,3,1,1,1,5,1,4,1,80,181,CA,1,-1,-1,A
52,2,1,3,1,1,1,4,1,4,4,4,2,2,2,3,2,3,2,5,3,4,4,4,3,4,4,3,5,4,5,3,3,4,1,4,4,3,3,2,2,3,3,4,2,2,3,4,1,1,75,211,US,0,-1,-1,S
53,2,3,1,3,3,3,2,2,2,3,4,4,2,2,2,2,2,1,1,4,4,1,2,3,3,4,4,2,4,4,3,2,1,4,2,4,3,4,3,4,2,3,3,3,3,2,2,2,2,95,170,US,1,-1,-1,E
54,2,2,1,1,1,2,2,2,2,4,5,2,3,2,3,3,2,3,2,4,4,4,3,4,3,5,3,4,4,3,4,4,1,3,1,3,3,3,2,4,1,4,3,2,4,3,3,3,2,90,127,US,0,-1,-1,S
56,2,4,2,3,2,2,4,2,3,3,4,4,3,3,4,3,3,4,4,4,5,4,5,5,4,5,5,4,4,5,4,4,4,3,2,3,3,2,3,2,4,1,2,2,1,2,3,2,1,100,691,US,0,-1,-1,A
57,2,1,1,1,1,1,3,1,1,5,5,4,1,2,4,1,1,1,3,3,2,2,3,3,2,3,5,4,5,5,2,4,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,99,148,US,1,-1,-1,S
58,2,1,1,1,1,2,2,2,1,1,4,5,1,1,4,1,5,3,4,5,4,5,5,1,3,5,2,3,1,3,2,3,2,5,2,4,1,5,4,1,4,2,3,2,5,2,3,2,2,90,179,CA,0,-1,-1,A
59,2,4,2,1,2,2,1,2,1,2,2,2,1,2,1,2,2,1,2,5,1,4,1,1,4,3,2,3,1,4,1,1,1,1,1,2,3,1,2,2,1,4,4,4,4,4,4,4,4,90,129,CA,0,-1,-1,C
60,2,3,1,2,3,1,2,2,2,4,4,4,3,4,4,4,3,4,5,5,5,5,5,5,5,3,4,3,4,3,4,4,4,3,4,3,4,3,4,3,3,2,4,3,4,2,2,2,2,100,866,US,1,-1,-1,A
61,2,1,2,1,2,1,3,2,3,2,4,2,2,1,2,1,2,3,4,5,3,5,5,4,4,2,5,2,3,3,4,4,2,1,4,2,1,3,3,1,4,1,4,1,2,4,3,1,1,95,187,US,0,-1,-1,A
62,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,3,2,4,4,5,2,4,5,4,4,3,2,4,3,3,4,4,3,-1,2,1,3,2,2,3,2,3,80,101,US,1,-1,-1,S
63,2,5,2,3,3,2,2,2,1,3,2,1,4,1,1,1,1,1,1,1,1,1,1,4,1,2,1,2,3,1,1,1,1,2,1,5,1,4,4,3,1,3,2,2,3,2,2,4,3,100,153,FI,1,-1,-1,E
64,2,1,2,1,1,1,2,2,2,1,3,2,1,2,3,2,2,3,4,4,2,2,3,1,4,4,5,5,4,5,5,5,4,2,3,3,3,4,3,1,3,2,1,1,1,3,2,2,1,75,207,US,1,-1,-1,S
67,2,5,1,1,2,1,1,3,1,4,4,4,4,3,3,3,3,4,3,3,2,1,3,1,3,5,3,1,4,3,2,2,2,1,2,3,3,3,3,1,2,4,4,3,3,3,4,3,3,70,318,US,1,-1,-1,I
69,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,3,5,5,5,3,2,2,4,3,3,3,2,2,2,1,3,3,1,1,2,1,99,90,US,1,-1,-1,S
71,2,3,1,1,3,1,3,1,1,1,4,1,1,2,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,4,4,5,4,3,3,75,119,US,1,-1,-1,C
72,2,1,1,1,3,1,2,1,1,5,2,3,3,4,3,4,3,5,4,1,3,3,4,1,1,5,5,3,2,4,1,5,3,3,1,3,2,2,4,3,5,3,1,3,1,1,4,1,1,70,394,US,0,-1,-1,S
73,2,1,3,1,1,2,2,1,3,1,3,1,3,2,2,1,1,5,5,3,3,2,5,-1,5,5,3,1,2,1,2,2,1,1,1,5,3,2,1,4,1,3,1,3,1,1,1,1,1,90,256,US,1,-1,-1,A
75,2,1,1,1,1,1,4,1,1,5,5,5,4,5,5,5,3,1,1,1,1,1,4,1,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,100,171,CA,0,-1,-1,I
76,2,1,1,3,3,1,4,1,4,3,2,2,4,3,5,4,4,1,1,4,4,3,3,1,3,4,2,1,1,1,1,1,1,1,2,2,1,4,4,3,3,1,1,2,2,4,3,1,3,50,252,US,1,-1,-1,I
77,2,5,5,2,2,3,4,2,5,5,5,5,2,5,5,3,4,1,2,5,3,2,2,5,5,1,5,4,5,5,3,4,5,3,2,2,2,3,3,4,3,3,3,3,2,2,2,2,3,90,232,CA,1,-1,-1,I
79,2,4,4,1,4,1,4,3,4,2,3,1,2,1,1,1,2,1,3,4,3,4,2,3,4,5,3,1,4,3,1,3,1,2,3,4,4,5,4,2,4,2,2,2,4,2,1,3,3,80,477,AU,1,-1,-1,E
80,2,1,1,3,5,1,2,1,1,4,4,4,5,1,4,1,4,4,3,3,5,4,5,4,4,5,4,5,4,5,2,3,3,1,1,3,1,2,3,3,4,1,1,1,1,2,3,1,1,90,270,CA,1,-1,-1,A
81,2,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,50,201,US,1,-1,-1,C
82,2,3,4,2,4,2,4,3,3,5,5,5,4,5,5,3,5,4,4,2,5,5,5,3,4,4,3,3,4,4,4,4,3,1,1,2,2,2,2,1,3,4,3,2,3,5,3,2,3,95,217,US,0,-1,-1,I
83,2,1,3,1,1,1,1,1,1,3,4,4,5,3,4,3,4,4,5,4,5,5,5,4,5,3,4,2,3,3,3,3,3,1,1,1,2,1,1,4,3,1,1,1,1,1,1,1,1,90,123,US,0,-1,-1,A
84,2,1,1,1,1,1,1,1,1,4,1,1,2,2,1,2,1,4,4,4,3,4,5,2,2,4,5,2,3,1,1,3,3,2,3,4,3,4,3,1,3,1,1,1,1,1,1,1,1,98,248,US,1,-1,-1,A
86,2,5,3,5,1,1,4,2,3,5,5,1,1,1,2,1,1,1,3,1,3,3,5,4,1,5,3,1,5,1,2,1,2,1,2,1,1,5,2,1,1,5,3,1,1,4,3,1,1,90,246,US,1,-1,-1,R
88,2,4,1,1,4,3,3,4,1,1,3,3,4,2,3,1,4,1,1,3,5,5,3,2,3,2,5,3,4,3,5,5,3,1,4,2,3,4,4,1,4,1,4,4,3,4,5,1,3,75,162,US,0,-1,-1,S
89,2,1,3,1,3,1,3,2,1,5,4,5,3,4,4,4,4,2,3,5,5,5,5,4,5,3,3,1,2,2,4,2,1,2,3,3,3,3,4,2,3,1,2,1,1,3,4,1,1,90,193,AU,1,-1,-1,A
90,2,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,5,4,1,4,5,5,1,1,3,4,3,1,5,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95,100,US,0,-1,-1,A
91,2,3,4,3,2,3,3,4,3,4,4,3,2,3,3,3,4,3,1,1,3,3,3,3,1,3,3,3,4,2,2,3,1,2,1,3,2,3,2,3,2,4,3,4,4,4,4,3,4,75,194,CA,1,-1,-1,C
93,2,3,4,1,1,1,4,1,4,5,4,5,5,5,4,4,4,4,4,5,5,4,4,1,4,5,5,-1,5,5,5,5,5,1,1,4,1,3,1,3,3,3,3,4,3,3,4,3,2,90,152,US,0,-1,-1,I
94,2,1,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,1,1,1,1,1,4,1,4,1,4,3,1,4,4,4,2,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,87,258,US,0,-1,-1,S
95,2,1,1,1,4,1,1,1,1,5,2,2,4,4,1,4,2,1,2,1,2,5,1,5,1,2,2,1,1,1,1,1,1,3,2,5,1,5,5,5,5,4,1,2,2,4,1,5,3,50,179,CA,0,-1,-1,E
97,2,3,1,1,2,1,2,2,1,3,3,2,3,2,2,2,2,1,3,2,2,2,3,2,3,5,4,5,3,5,4,4,4,2,3,4,2,4,3,3,4,3,3,4,3,3,3,3,3,100,211,US,1,-1,-1,S
100,2,4,4,1,1,1,3,1,3,5,4,4,5,4,3,4,3,3,2,3,2,1,4,1,2,4,4,4,5,5,1,4,4,1,1,2,1,2,1,1,3,3,1,1,2,3,3,3,1,100,173,US,0,-1,-1,I
104,2,1,1,1,1,1,1,1,1,4,3,2,4,3,1,4,1,1,1,4,2,1,1,1,1,3,3,4,3,3,1,1,1,4,3,1,1,2,2,3,1,3,3,1,1,1,1,1,1,100,149,US,0,-1,-1,I
105,2,3,4,2,2,3,2,4,2,4,4,2,1,3,2,2,2,3,2,3,4,4,4,1,4,2,4,1,2,1,1,2,1,1,4,1,1,1,2,1,4,1,4,4,1,5,4,1,3,85,174,US,0,-1,-1,A
106,2,3,2,1,3,1,3,4,2,5,5,4,2,2,5,4,5,3,5,5,5,5,5,4,5,4,3,2,3,3,2,3,1,1,2,2,4,1,3,1,5,1,4,2,3,1,3,1,2,95,162,US,0,-1,-1,A
107,2,2,3,2,3,2,3,2,2,3,4,2,2,3,3,2,3,2,4,5,3,5,2,4,3,1,3,2,2,2,3,3,3,2,2,2,2,2,4,2,4,3,2,2,2,2,3,2,2,50,205,US,1,-1,-1,A
108,2,1,1,1,1,1,1,1,1,5,4,4,4,4,2,3,1,5,5,1,4,4,2,2,2,4,3,5,1,5,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,100,117,US,0,-1,-1,I
109,2,1,1,1,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,3,3,3,2,1,3,100,105,US,0,-1,-1,C
110,2,2,4,1,2,2,3,1,3,3,3,1,1,1,4,3,2,4,5,4,5,5,4,4,5,5,5,4,5,5,5,5,1,2,4,3,5,2,4,3,4,1,2,1,1,1,3,1,1,98,234,US,0,-1,-1,A
111,2,3,1,1,1,1,1,3,1,1,5,3,1,1,3,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,3,2,3,1,3,3,5,3,3,1,5,1,3,100,286,US,0,-1,-1,A
112,2,1,1,1,1,1,1,1,1,3,3,3,1,1,3,1,1,3,3,3,3,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90,141,US,0,-1,-1,A
113,2,3,3,3,5,3,3,3,3,4,4,4,5,4,4,5,4,4,4,5,4,4,5,2,4,3,3,2,2,4,1,4,3,1,3,2,1,1,4,1,4,1,4,4,3,5,4,3,3,80,272,US,0,-1,-1,I
114,2,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,1,4,4,3,4,5,4,3,3,4,3,3,2,3,3,3,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,90,161,US,0,-1,-1,A
115,2,3,4,2,2,2,4,2,3,3,4,5,2,2,3,3,2,1,1,1,2,2,2,1,2,5,4,2,2,2,2,4,2,2,2,3,2,4,3,2,3,4,2,2,4,2,4,3,3,75,161,US,1,-1,-1,I
116,2,3,3,1,3,-1,1,2,1,4,4,4,3,4,3,3,3,1,1,1,3,2,3,4,1,4,3,3,4,3,1,1,2,4,1,3,4,3,4,2,4,1,1,1,2,4,-1,1,1,90,160,US,1,-1,-1,I
117,2,1,2,1,2,1,1,1,1,3,3,1,2,1,3,1,3,4,4,4,4,2,5,4,4,4,5,5,4,5,2,5,5,1,3,3,3,2,4,1,2,1,1,2,2,2,2,2,1,96,431,US,1,-1,-1,S
118,2,1,1,1,1,1,3,1,3,3,3,3,3,1,3,1,2,1,2,3,4,4,4,3,2,4,3,3,3,4,3,3,2,2,2,2,1,2,3,3,2,1,1,2,1,1,2,2,1,90,224,US,0,-1,-1,S
121,2,1,3,2,4,1,4,3,3,3,2,4,4,3,3,3,4,1,4,5,3,4,2,4,5,5,1,2,4,4,3,3,1,1,1,5,1,4,2,5,3,1,1,4,2,3,3,3,2,85,240,US,1,-1,-1,A
122,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,4,2,4,1,3,4,2,2,1,1,3,2,3,3,1,1,2,1,2,2,1,2,95,154,US,1,-1,-1,S
123,2,1,1,1,1,1,1,1,2,4,3,2,4,2,2,3,2,4,3,5,4,3,5,2,4,4,5,5,3,3,4,4,3,3,5,3,4,2,5,5,4,1,1,1,1,1,2,2,2,95,148,US,0,-1,-1,S
125,2,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,5,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,1,5,5,1,1,100,167,US,0,-1,-1,S
126,2,2,1,2,2,2,1,2,2,4,4,2,3,3,3,3,2,3,4,5,3,5,3,5,5,5,4,4,3,5,5,5,3,5,2,4,4,4,3,4,4,2,2,2,3,2,1,2,1,80,249,AU,1,-1,-1,S
127,2,5,1,1,1,5,5,5,5,4,1,1,1,1,5,1,1,1,1,5,1,1,1,1,5,1,4,5,1,3,1,4,4,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,100,654,US,1,-1,-1,R
129,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,5,3,5,5,1,5,5,5,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,100,192,US,0,-1,-1,S
130,2,1,1,1,1,1,1,1,1,5,2,3,5,5,1,4,1,4,4,3,5,5,4,5,1,4,4,5,4,5,3,4,2,1,1,3,4,5,3,3,1,3,1,3,4,4,1,3,1,80,273,US,1,-1,-1,A
132,2,2,5,2,5,1,5,1,2,2,5,5,4,5,5,5,4,4,2,2,5,5,5,3,2,2,5,3,3,3,2,4,1,1,4,3,1,2,1,1,4,1,2,2,1,4,5,1,1,95,346,US,0,-1,-1,I
133,2,1,1,1,1,1,1,1,1,5,5,4,4,4,5,4,3,2,2,4,4,4,2,4,4,3,4,3,3,3,4,4,4,2,3,1,2,1,2,3,2,1,1,2,1,1,2,1,1,95,127,US,1,-1,-1,I
134,2,1,3,1,2,1,3,1,2,5,5,5,4,5,5,4,3,4,4,3,4,4,5,3,5,3,3,2,4,3,3,3,3,2,1,3,3,2,4,2,3,1,1,1,1,1,3,1,1,80,194,US,1,-1,-1,I
135,2,1,3,1,1,2,3,1,2,5,4,3,3,4,3,3,2,2,2,5,3,4,3,4,3,3,2,1,2,2,2,3,2,1,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,95,155,US,0,-1,-1,I
137,2,1,3,3,4,1,3,2,2,5,3,3,4,4,3,3,3,1,2,3,3,3,3,3,3,3,5,5,5,5,5,3,4,1,1,3,2,2,2,3,3,1,1,1,1,2,3,2,1,75,223,US,1,-1,-1,S
138,2,3,2,1,2,1,2,1,2,2,2,1,3,2,3,1,4,4,2,3,2,2,2,4,2,3,2,2,4,2,1,4,2,4,2,4,4,4,3,4,3,3,1,3,2,4,2,2,2,80,290,CA,1,-1,-1,E
139,2,1,3,1,1,1,1,1,1,2,5,4,4,4,4,2,1,2,1,2,3,4,4,1,3,1,5,1,2,3,4,4,4,1,4,1,1,2,2,2,3,1,3,1,2,2,1,1,1,100,149,US,0,-1,-1,I
140,2,4,4,3,2,1,4,2,3,5,3,3,4,2,2,2,2,2,2,3,2,2,3,4,2,3,3,4,4,3,3,4,4,1,3,4,4,4,2,3,2,4,3,4,4,2,3,2,3,75,187,CA,1,-1,-1,S
141,2,1,1,1,1,1,3,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,3,4,2,1,3,1,3,1,2,4,3,3,1,3,3,4,4,1,3,3,3,98,164,US,1,-1,-1,C
142,2,1,1,1,1,1,1,1,3,3,4,3,1,3,1,5,1,3,1,1,2,4,5,1,1,4,5,1,4,3,4,1,2,1,1,4,1,5,1,1,1,3,1,1,5,4,3,5,3,89,259,US,1,-1,-1,C
143,2,1,4,1,2,1,2,1,2,1,4,1,3,1,1,1,1,5,3,2,4,3,4,4,2,5,5,3,4,4,5,5,2,3,2,4,4,3,3,3,3,3,2,3,2,1,1,2,2,90,206,US,1,-1,-1,S
146,2,2,1,1,1,1,1,1,1,3,3,2,1,1,2,1,1,1,1,1,1,3,5,1,1,3,1,3,3,3,3,3,3,1,1,1,3,1,3,1,3,1,3,1,1,1,1,1,1,70,217,IE,1,-1,-1,S
148,2,4,1,1,1,1,1,2,1,5,5,5,4,5,5,5,3,5,5,5,5,5,5,2,4,5,5,4,4,4,5,5,3,2,3,4,3,4,4,1,3,5,5,2,5,4,4,3,4,85,144,US,1,-1,-1,I
149,2,5,4,1,4,1,4,4,4,1,1,1,1,1,1,1,5,3,5,5,5,5,5,5,5,4,4,3,5,4,3,4,1,1,3,3,1,3,1,1,3,4,4,3,3,4,4,3,3,85,165,US,1,-1,-1,A
150,2,1,2,2,1,1,1,2,1,1,4,4,1,2,4,2,3,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,4,2,4,3,3,4,2,2,2,2,2,2,1,2,75,231,US,0,-1,-1,E
152,2,3,1,1,5,1,1,2,1,3,5,5,4,5,4,3,4,1,4,4,4,5,4,1,1,4,5,1,1,2,1,3,4,1,1,1,1,1,1,1,1,4,1,1,1,5,5,3,1,90,169,US,0,-1,-1,I
154,2,1,2,1,1,1,1,2,1,3,4,2,1,2,4,2,4,3,3,5,5,5,4,3,5,4,3,4,4,4,3,4,4,2,4,3,3,2,3,3,4,2,1,2,2,1,3,2,1,90,150,US,1,-1,-1,A
157,2,3,1,3,1,1,1,1,1,4,4,1,4,1,3,4,1,1,1,1,1,4,1,-1,1,1,3,1,1,1,2,1,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,90,95,CA,0,-1,-1,I
158,2,3,4,3,4,4,3,4,4,1,2,2,3,2,2,2,2,1,2,2,2,2,2,4,3,3,4,4,4,3,4,3,3,3,2,2,2,3,2,3,3,2,3,4,2,3,5,3,2,80,154,US,0,-1,-1,R
159,2,3,3,3,4,4,4,4,4,2,4,4,3,3,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,1,1,3,2,2,2,2,2,1,3,3,3,2,2,3,2,3,100,130,US,0,-1,-1,R
160,2,2,3,2,2,1,3,1,2,4,2,2,2,2,3,2,4,4,3,1,3,3,3,2,3,3,5,1,2,2,4,4,2,1,1,4,3,4,2,3,2,1,3,2,2,3,3,2,2,80,256,US,0,-1,-1,S
161,2,1,1,1,3,1,1,1,1,4,5,5,5,5,5,5,5,1,1,1,1,1,1,3,1,2,3,3,2,3,1,1,1,1,3,1,1,2,3,1,1,3,2,1,1,1,1,1,1,95,208,US,0,-1,-1,I
162,2,1,2,1,1,1,3,1,2,3,3,3,3,3,3,2,1,3,3,2,4,5,4,2,3,5,4,4,3,4,3,4,2,1,3,1,2,2,2,1,3,3,2,3,3,3,3,1,2,95,334,US,1,-1,-1,S
163,2,5,4,3,4,2,2,2,4,5,5,5,5,5,5,5,4,2,2,1,1,2,2,4,2,5,4,1,4,4,5,5,4,1,2,5,2,4,4,1,5,5,4,4,4,4,4,2,5,90,299,US,0,-1,-1,I
